transaction_id,customer_id,product,amount,transaction_date,region
T1001,C001,Laptop,1200.50,2024-01-15,North
T1002,C002,Mouse,25.00,2024-01-15,South
T1003,C003,Monitor,350.00,2024-01-16,East
T1004,C001,Keyboard,45.00,2024-01-16,North
T1005,C004,Laptop,1150.00,2024-01-17,West
T1006,C002,Webcam,85.00,2024-01-17,South
T1007,C005,Headphones,120.00,2024-01-18,North
T1008,C003,Monitor,350.00,2024-01-18,East
T1009,C001,Docking Station,150.00,2024-01-19,North
T1010,C004,Mouse Pad,15.00,2024-01-19,West
T1011,C002,Laptop,1200.50,2024-01-20,South
T1012,C005,Keyboard,45.00,2024-01-20,North
T1013,C001,External Drive,80.00,2024-01-21,North
T1014,C003,Laptop,1150.00,2024-01-21,East
T1015,C004,Monitor,340.00,2024-01-22,West
,,Unknown Product,,2024-01-23,North
T1017,C002,Mouse,25.00,2024-01-23,